lon,lat
89.0,2.4609375
83.4803661137381,1.0546875
82.63133285369295,1.40625
81.56996820323275,-0.3515625
80.17871349622823,-1.40625
78.420193275912,-4.21875
76.18499546094715,-5.9765625
74.4021625984244,-8.7890625
72.0739114882038,-11.953125
70.02058730174062,-14.4140625
68.59248658252949,-19.51171875
67.60922060496382,-22.67578125
67.2720426739952,-25.48828125
66.72254132270652,-26.4765625
65.80277639340238,-26.76171875
64.69910544204765,-26.87109375
63.782486031165014,-26.57421875
62.83508901142282,-26.1015625
62.02152819100765,-25.33203125
60.23981116999892,-25.44140625
40.98480801923985,-25.19921875
40.98,-26.69
89,-26.69
